year_month,area_code,pm25,pm10,o3,no2,so2,co,aqi
201402,6671,-1,-1,-1,-1,-1,-1,-1
201402,7001,-1,-1,-1,-1,-1,-1,-1
201402,7002,-1,-1,-1,-1,-1,-1,-1
201402,7003,-1,-1,-1,-1,-1,-1,-1
201402,7004,-1,-1,-1,-1,-1,-1,-1
201402,7005,-1,-1,-1,-1,-1,-1,-1
201402,7006,-1,-1,-1,-1,-1,-1,-1
201402,7007,-1,-1,-1,-1,-1,-1,-1
201402,7008,-1,-1,-1,-1,-1,-1,-1
201402,7009,-1,-1,-1,-1,-1,-1,-1
201402,7010,-1,-1,-1,-1,-1,-1,-1
201402,7011,-1,-1,-1,-1,-1,-1,-1
201402,7012,-1,-1,-1,-1,-1,-1,-1
201402,7013,-1,-1,-1,-1,-1,-1,-1
201402,7014,-1,-1,-1,-1,-1,-1,-1
201402,7015,-1,-1,-1,-1,-1,-1,-1
201402,7016,-1,-1,-1,-1,-1,-1,-1
201402,7017,-1,-1,-1,-1,-1,-1,-1
201402,7018,-1,-1,-1,-1,-1,-1,-1
201402,7019,-1,-1,-1,-1,-1,-1,-1
201402,7020,-1,-1,-1,-1,-1,-1,-1
201402,7021,-1,-1,-1,-1,-1,-1,-1
201402,7022,-1,-1,-1,-1,-1,-1,-1
201403,110101,127,72,13,34,22,-1,127
201403,110102,157,109,19,30,21,-1,157
201403,110103,153,93,19,29,18,17,153
201403,110104,153,93,19,29,18,17,153
201403,110105,160,117,15,37,17,-1,160
201403,110106,168,89,7,47,23,-1,168
201403,110107,159,102,18,36,17,-1,159
201403,110108,156,90,11,38,23,-1,156
201403,110109,143,96,21,25,16,-1,143
201403,110111,179,133,16,35,18,-1,179
201403,110112,170,98,20,26,21,13,170
201403,110113,153,86,18,29,16,-1,153
201403,110114,133,73,27,14,12,-1,133
201403,110115,172,107,19,24,16,-1,172
201403,110116,143,78,25,21,15,-1,143
201403,110117,152,90,23,21,18,21,152
201403,110228,153,93,19,29,18,17,153
201403,110229,153,93,19,29,18,17,153
201403,120101,172,125,16,32,38,22,172
201403,120102,180,108,16,31,39,21,180
201403,120103,190,117,15,32,43,16,190
201403,120104,185,116,14,32,40,16,185
201403,120105,171,120,8,31,33,18,171
